Insect,1
Excavation,7
Dish,5
Truck,8
Box,4
Aardvark,5
Aardwolf,5
Accelerator,6
Account,3
Address Book,3
African Buffalo,7
African Elephant,7
African Leopard,5
African Wild Dog,7
Air Freshener,5
Airplane,10
Airport,10
Alarm,3
Alarm Clock,3
Albatross,7
Albertosaurus,8
Alligator,6
Allosaurus,8
Alpaca,7
American Bison,6
American Black Bear,7
American Robin,4
Anaconda,7
Angelfish,5
Angle,4
Anglerfish,6
Ankylosaurus,7
Ant,5
Anteater,6
Antelope,6
Antlion,1
Apartment Building,9
Apatosaurus,8
Apple,3
Arabian Leopard,7
Arch,7
Arctic Fox,5
Arctic Wolf,6
Argentinosaurus,6
Arm,5
Armadillo,4
Armoire,6
Army,4
Ashtray,4
Asian Black Bear,8
Asian Elephant,7
Asp,5
Asparagus,3
Attic,9
Aunt,7
Axolotl,3
Baboon,6
Baby,5
Back,4
Backpack,5
Badger,4
Bag,4
Bake,3
Bald Eagle,6
Ball,4
Balloon,5
Banana,4
Bananas,3
Band,3
Bandicoot,4
Bank,9
Barber Shop,7
Barnacle,2
Barracuda,5
Basement,8
Basilisk,4
Basin,6
Basket,6
Bass,5
Bat,3
Bath,7
Bath Tub,7
Bathroom,7
Batter,6
Batteries,2
Battery,3
Beach,9
Beans,5
Bear,7
Beaver,6
Bed,7
Bedbug,1
Bedding,7
Bedroom,8
Bedspread,7
Bee,1
Beef,6
Beetle,3
Bell,4
Belt,6
Beluga,7
Berry,2
Bicycle,7
Bills,3
Binders,4
Bird,4
Bison,7
Black Panther,6
Black Rhinoceros,6
Black Widow,2
Blackbird,5
Blackboard,5
Blackboard Eraser,4
Blade,3
Blanket,6
Blankets,6
Blinds,7
Blinker,4
Blouse,6
Blue Jay,3
Blue Whale,7
Bluebird,3
Boa,7
Boar,5
Board,5
Boat,8
Bobcat,5
Bobolink,4
Boil,3
Bone,4
Bonobo,5
Booby,5
Book,5
Book Store,8
Bookcase,6
Bookmark,4
Books,5
Boom Box,5
Boot,4
Boots,6
Bornean Rhinoceros,8
Borrow,4
Bottle,4
Bottle Cap,3
Bovid,5
Bow,5
Bowl,4
Bowling Alley,7
Box,6
Box Jellyfish,5
Boy,6
Bracelet,2
Brachiosaurus,9
Brain,6
Brake,4
Branch,5
Bread,3
Brick,4
Bridge,7
Broccoli,3
Brocolli,3
Broil,4
Broom,6
Brother,7
Brown Bear,7
Brush,4
Buckel,3
Bucket,4
Buffalo,7
Bug,1
Bulb,5
Bull,7
Bulletin Board,3
Bumper,6
Bunt,5
Bus,9
Bus Stop,6
Butterfly,2
Button,2
Buzzard,6
Cabbage,4
Cake,3
Calendar,5
Camel,6
Camera,3
Camptosaurus,4
Can Opener,4
Canada Goose,6
Candle,3
Candles,2
Candy,1
Candy Wrapper,2
Canid,3
Canine,4
Canvas,6
Cap,3
Cape Buffalo,6
Capybara,5
Car,7
Card,3
Cardinal,6
Caribou,6
Carnotaurus,8
Carp,4
Carpet,8
Carriage,7
Carrot,4
Carrots,3
Cart,6
Cash,4
Cashier,6
Cassette,3
Cat,4
Catch,3
Catcher,5
Caterpillar,4
Catfish,5
Catshark,5
Cattle,6
Cd,5
Cd Player,5
Ceiling,8
Celery,4
Cell Phone,4
Centipede,3
Ceratosaurus,8
Chain,3
Chair,6
Chairs,6
Chalk,3
Chameleon,3
Chapter Book,4
Charger,4
Check,2
Checkbook,4
Cheeks,4
Cheese,4
Cheetah,6
Cherry,2
Chest,6
Chickadee,4
Chicken,5
Chimpanzee,7
Chin,3
China,7
Chinchilla,4
Chipmunk,3
Chocolate,3
Chocolate Bar,4
Church,9
Cicada,1
Cinder Block,5
Circle,4
Clam,3
Clamp,4
Clay Pot,3
Clock,4
Closet,7
Clothes,6
Cloud,8
Clownfish,4
Clutch,6
Coach,7
Coasters,5
Coat,5
Coati,5
Cobra,6
Cockroach,2
Cod,4
Coffee Table,5
Coins,3
Collar,4
Comb,3
Comforter,7
Computer,4
Conditioner,4
Condor,6
Constrictor,7
Containers,4
Controller,6
Convenience Store,9
Cookie,3
Cookie Jar,5
Coral,4
Cord,6
Cork,3
Corn,3
Corythosaurus,9
Couch,7
Cougar,6
Cousin,7
Cow,7
Coyote,5
Coypu,4
Crab,3
Crane,6
Crane Fly,2
Crayfish,3
Credenza,7
Credit,5
Credit Card,3
Cricket,5
Crocodile,6
Crow,4
Cuckoo,2
Cucumber,6
Cup,4
Currency,3
Curtain,5
Curtains,6
Curve,7
Cushion,5
Cushions,6
Customer,6
Damselfly,2
Dashboard,4
Daughter,7
Deer,7
Deodorant,4
Department Store,7
Deposit,4
Desert,8
Desk,6
Dhole,5
Dictionary,4
Dingo,5
Dining Room,8
Dinosaur,9
Dish,4
Dish Towel,4
Dishwasher,5
Dodo,3
Doedicurus,6
Dog,5
Doll,6
Dolphin,7
Donkey,6
Donut,4
