HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.WORDS,Answer.categories,Approve,Reject
30Z7M1Q8UXJZNDMNY1FXAZDCCME8AR,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:40:53 PDT 2018,3,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 16:40:53 PDT 2018,,,3PZDLQMM0TLFGXFQS07OVNMITBI2CJ,AD3176YJTD639,Rejected,Sat Apr 07 09:47:35 PDT 2018,Sat Apr 07 09:47:47 PDT 2018,Tue Apr 10 09:47:47 PDT 2018,,Sat Apr 07 12:53:26 PDT 2018,a catcher is human sized,12,0% (0/1),0% (0/1),0% (0/1),Catcher,1,,
30IRMPJWDYIBHVA591YMVUBD7QWKRU,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:40:44 PDT 2018,4,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 19:49:49 PDT 2018,,,3RWE2M8QWHARBR9323COSANFVHC0NF,A1GF4A7E5KTXS8,Rejected,Sat Apr 07 09:45:28 PDT 2018,Sat Apr 07 09:45:35 PDT 2018,Tue Apr 10 09:45:35 PDT 2018,,Sat Apr 07 12:49:49 PDT 2018,a kitten is not the size of a house,7,0% (0/1),0% (0/1),0% (0/1),Kitten,8,,
31J7RYECZKPY8WT6W7V8436FSS7L12,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:40:47 PDT 2018,4,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 19:52:44 PDT 2018,,,3K3R2QNK8B3M2BHPZ073ZGG26HZU9D,AJWES6SFIP3AT,Rejected,Sat Apr 07 09:50:17 PDT 2018,Sat Apr 07 09:51:45 PDT 2018,Tue Apr 10 09:51:45 PDT 2018,,Sat Apr 07 12:52:44 PDT 2018,a whale is not hand sized,88,0% (0/1),0% (0/1),0% (0/1),Right Whale,4,,
308KJXFUJQ5ILXEB1ZQS1V9ZQZZATI,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:40:47 PDT 2018,3,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 16:40:47 PDT 2018,,,30X31N5D63QKSHZQ21Q3GA9YR2VSA9,A104V8NZIQFN2F,Submitted,Sat Apr 07 09:44:54 PDT 2018,Sat Apr 07 09:45:26 PDT 2018,Tue Apr 10 09:45:26 PDT 2018,,,,32,0% (0/0),0% (0/0),0% (0/0),Hill,10,,
3NOEP8XAU31WPITXVS9MGTJ02HNXP4,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:40:58 PDT 2018,3,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 16:40:58 PDT 2018,,,31IBVUNM9SZVG0X27CH05Y4WNM5FVH,A104V8NZIQFN2F,Submitted,Sat Apr 07 09:54:13 PDT 2018,Sat Apr 07 09:54:19 PDT 2018,Tue Apr 10 09:54:19 PDT 2018,,,,6,0% (0/0),0% (0/0),0% (0/0),Umbrella,6,,
336OE47KI1JU52L37ZMZK2UBF3IVWU,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:41:11 PDT 2018,3,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 16:41:11 PDT 2018,,,32AT8R96GL947QDO867UGBLSY5PUSP,A104V8NZIQFN2F,Submitted,Sat Apr 07 09:53:31 PDT 2018,Sat Apr 07 09:53:56 PDT 2018,Tue Apr 10 09:53:56 PDT 2018,,,,25,0% (0/0),0% (0/0),0% (0/0),Portuguese Man O' War,9,,
30F94FBDNQJN47J37DQOW6T58HKTBW,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:41:09 PDT 2018,3,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 16:41:09 PDT 2018,,,32ZKVD547FNLRAJ3I0PY3DLSH4K3BQ,A104V8NZIQFN2F,Submitted,Sat Apr 07 09:52:41 PDT 2018,Sat Apr 07 09:53:10 PDT 2018,Tue Apr 10 09:53:10 PDT 2018,,,,29,0% (0/0),0% (0/0),0% (0/0),Lambeosaurus,9,,
3L21G7IH46VI8V05FMKYYB8B17C1YB,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:41:17 PDT 2018,3,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 16:41:17 PDT 2018,,,337RC3OW052HGS7YTNKY0B9GKIRVL2,A104V8NZIQFN2F,Submitted,Sat Apr 07 09:55:01 PDT 2018,Sat Apr 07 09:55:04 PDT 2018,Tue Apr 10 09:55:04 PDT 2018,,,,3,0% (0/0),0% (0/0),0% (0/0),Grizzly Bear,8,,
3INZSNUD8ZPXZP89N3CD0WGTHVTD9N,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:40:44 PDT 2018,3,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 16:40:44 PDT 2018,,,339ANSOTR521AG5G9G9E6M67NGNKIO,A104V8NZIQFN2F,Submitted,Sat Apr 07 09:42:53 PDT 2018,Sat Apr 07 09:43:00 PDT 2018,Tue Apr 10 09:43:00 PDT 2018,,,,7,0% (0/0),0% (0/0),0% (0/0),Pillow,6,,
36D1BWBEHM0P3ZTNFNW19ZV9K3BM2M,3K17V65Z3LYKF53VPWAI4514KML8MF,Pick the best category,Categorize the given object (word) based on how big it generally is,categorize,$0.02 ,Sat Apr 07 09:41:00 PDT 2018,3,BatchId:3184697;OriginalHitTemplateId:926051498;,86400,259200,Sat Apr 07 16:41:00 PDT 2018,,,33OOO72IVHL90W93BFRKWAV8TOYCTO,A104V8NZIQFN2F,Submitted,Sat Apr 07 09:56:22 PDT 2018,Sat Apr 07 09:56:26 PDT 2018,Tue Apr 10 09:56:26 PDT 2018,,,,4,0% (0/0),0% (0/0),0% (0/0),Stream,10,,
